arquivo,codigo_sugerido,produto_sugerido,categoria,score,codigo_confirmado
fita-18-mm.jpg,216,FITA FIXA- FACIL - 18 MM X 2 M,,100.0,
chave_de_roda_aco.jpeg,558,CHAVE DE RODA 17-19-21-23 ACO,,100.0,
espatula-3.jpg,271,"ESPATULA CABO DE MADEIRA 3 , MAR",,100.0,
ESPATULA-2.jpg,103,ESPATULA CABO DE MADEIRA ELITE 2,,100.0,
emborrachado.jpg,379,MARTELO CABO EMBORRACHADO 2,,100.0,
disco_turbo_.jpeg,233,DISCO ESMERILHADEIRA TURBO FURO,,100.0,
corda_uso.jpeg,393,CORDA DE MULTI USO 15MMX 8MM,,100.0,
conector-16mm.jpg,456,CONECTOR 16MM 2 POLO 50A 600V,,100.0,
colher_9.jpeg,391,COLHER PEDREIRO 9,,100.0,
colher_8_canto_reto.jpeg,427,COLHER PEDREIRO 8 CANTO RETO 19,,100.0,
colher_7.jpeg,390,COLHER PEDREIRO 7,,100.0,
COLHER_10_canto_reto.jpeg,429,COLHER PEDREIRO 10 CANTO RETO 27,,100.0,
colher_10.jpeg,435,COLHER PEDREIRO REDONDO 10 18KG,,100.0,
cola-quente.jpg,27,SQ PISTOLA DE COLA QUENTE,,100.0,
chave_biela_13mm.jpeg,503,CHAVE DE BIELA 13MM,,100.0,
esquincho_mangueira.jpeg,401,ESQUINCHO MANGUEIRA,,100.0,
chave-biela-17mm.jpeg,482,CHAVE BIELA TIPO L 17MM,,100.0,
chave-biela-10mm.jpeg,442,CHAVE BIELA DE ABERTURA 10MM,,100.0,
c.jpeg,151,RESISTENCIA DUCHA C 220V 4000W,,100.0,
bucha_10.jpeg,513,BUCHA FIXACAO ECOLIDER 10 C/ANEL,,100.0,
broca_widea_elite_10mm_azul.jpeg,283,BROCA WIDEA 10MM,,100.0,
broca_widea_8mm_elite.jpeg,282,BROCA WIDEA 8MM,,100.0,
broca_elite_6mm.jpeg,517,BROCA WIDEA 6MM ELITE,,100.0,
broca-chata-25mm.jpeg,412,BROCA CHATA 25MM,,100.0,
broca-chata-20mm.jpeg,411,BROCA CHATA 20MM,,100.0,
broca-chata-18mm.jpeg,454,BROCA CHATA 18MM,,100.0,
broca-chata-16mm.jpeg,409,BROCA CHATA 16MM,,100.0,
broca-chata-12mm.png,408,BROCA CHATA 12MM,,100.0,
esquadro-metal.jpg,376,"ESQUADRO DE METAL, P/ CONSTRUCA",,100.0,
estilete-18mm.jpg,75,"ESTILETE 18MM, MARCA ELITE",,100.0,
broca-5x86mm.jpg,269,BROCA DE CONCRETO 5X86MM,,100.0,
uma tomada fêmea pre.png,175,TOMADA FEMEA,,100.0,
resistencia-hs-duchinha.jpg,65,RESISTENCIA HS DUCHINHA SS 5200 W,,100.0,
rebitadeira_9.jpeg,568,REBITADEIRA 9,,100.0,
ralo_inox_5cm.jpeg,452,RALO DE INOX PARA PIA 5CM,,100.0,
prendedor_de_carga.jpeg,496,PRENDEDOR DE CARGA,,100.0,
ponteiro-sds.jpg,234,PONTEIRO SDS 14X250MM,,100.0,
plug-macho.jpg,207,PLUG MACHO PRETO,,100.0,
plug-branco.png,258,PLUG BIG 10A 2P+T BRANCO A GRANE,,100.0,
PINO-FEMEA.jpg,476,TOMADA DESMONTAVEL PINO FEMEA 2,,100.0,
pincel_75mm_final.jpeg,509,PINCEL 75MM,,100.0,
pincel_63mm_final.jpeg,508,PINCEL 63MM,,100.0,
pincel_50mm_final.jpeg,506,PINCEL 50MM,,100.0,
pincel_38mm_final.jpeg,507,PINCEL 38MM,,100.0,
multimetro-digital.jpg,137,SQ MULTIMETRO DIGITAL COM BIP,,100.0,
TOMADA-FEMEA-PTO.png,175,TOMADA FEMEA,,100.0,
martelo-madeira.jpg,418,MARTELO CABO DE MADEIRA 27MM,,100.0,
MANGUEIRA-BICO.png,41,AR0330 - MANGUEIRA DE BICO BIDE 1,,100.0,
luva-malha.jpg,188,REF 50504 LUVA DE MALHA DE PLASTIC,,100.0,
kit-pintura.png,369,CONJUNTO DE ROLOS PARA PINTURA C,,100.0,
kit-jogo-de-chave.jpg,442,CHAVE BIELA DE ABERTURA 10MM,,100.0,
kit-anel-de-vedacao.jpg,320,"ANEL P/ VEDACAO, DE BORRACHA, 50 P",,100.0,
KIT-3.jpg,310,"ABRACADEIRA DE NYLON 3,6X300MM C",,100.0,
JOGO-DE-SOQUETE.jpg,45,AR0469 - JOGO DE SOQUETE/CANHAO -,,100.0,
JOGO-CHAVE.jpg,50,"JOGO CHAVE FIXA 6X7,8X9,10X11,12",,100.0,
jogo-2.jpg,309,"BROCA ACO RAPIDO 2,8MM",,100.0,
fita_dupla_face_2m.jpeg,377,FITA ADESIVA DUPLA FACE 2M X 25M,,100.0,
3-t.png,228,"ADPATADOR 3""T"" SAIDAS 10/20 A PIN",,100.0,
broca-chata-10mm.jpeg,407,BROCA CHATA 10MM,,100.0,
tomada-20-A.jpg,156,TOMADA DE SOBREPOR 20 A,,100.0,
alicate_6.jpeg,163,ALICATE BICO 6 (STARTOOLS),,100.0,
alicate_8.jpeg,386,ALICATE DE CORTE 8,,100.0,
abra-2.jpg,18,SQ ABRACADEIRA DE NYLON 7.2*300,,100.0,
aco-rapido.jpg,238,BROCA ACO RAPIDO 10X2.5MM,,100.0,
bob-porcelana.jpg,227,BOB-PORCELANA,,100.0,
arco-de-serra-final.jpg,373,ARCO DE SERRA,,100.0,
alicate-bico-startools.jpg,163,ALICATE BICO 6 (STARTOOLS),,100.0,
BOMBA-AR.jpg,314,"BOMBA DE AR, DE USO MANUAL 55C",,100.0,
abra-4.jpg,403,ABRACADEIRA 4.8X200MM BRANCA,,100.0,
broca-10x1.5mm.jpg,289,"BROCA HSS-G 10X1,5MM",,100.0,
martelo_cabo_emborrachado_500g.jpeg,380,MARTELO CABO EMBORRACHADO 50,,96.6,
martelo_cabo_emborrachado_250g.jpeg,380,MARTELO CABO EMBORRACHADO 50,,96.6,
estilete-profissional-1.jpg,76,ESTILETE PROFISSIONAL 18MM ELITE,,95.5,
