codigo,produto,saldo,unidade,preco_atacado,preco_varejo,fornecedor,categoria
205,(HS) MAX DUCHA 5500W 220V 26A,"-8,000",UN,8.99,0.0,TECNO CORTE,ELETRICA
231,(HS) RESISTENCIA BELA ULTRA 4T,"245,000",UN,16.63,0.0,DIAMETALIC FERRA,ELETRICA
474,ABRACADEIRA 200X4.8MM PRETA,"51,000",UN,9.46,0.0,APLASTEC,UTILIDADES
403,ABRACADEIRA 4.8X200MM BRANCA,"20,000",UN,9.76,0.0,APLASTEC,UTILIDADES
510,ABRACADEIRA 4.8X280MM BRANCA,"90,000",UN,9.46,0.0,APLASTEC,UTILIDADES
404,ABRACADEIRA 4.8X280MM PRETA,"0,000",UN,13.96,0.0,APLASTEC,UTILIDADES
472,ABRACADEIRA DE NYLON 100X2.5MM B,"12,000",UN,2.46,0.0,APLASTEC,UTILIDADES
473,ABRACADEIRA DE NYLON 100X2.5MM P,"12,000",UN,2.46,0.0,APLASTEC,UTILIDADES
310,"ABRACADEIRA DE NYLON 3,6X300MM C","7,000",UN,9.45,0.0,SETE MARES COMER,UTILIDADES
470,ABRACADEIRA DE NYLON 300X7.6MM P,"12,000",UN,12.44,0.0,APLASTEC,UTILIDADES
413,"ABRACADEIRA DE NYLON 4,8X400MM B","36,000",UN,16.02,0.0,KL VITORIA - COM. D,UTILIDADES
346,"ABRACADEIRA DE NYLON 4,8X400MM P","38,000",UN,16.02,0.0,SETE MARES COMER,UTILIDADES
499,ABRACADEIRA DE NYLON 4.8X300,"120,000",UN,11.7,0.0,SETE MARES COMER,UTILIDADES
471,ABRACADEIRA DE NYLON 400X7.6MM P,"34,000",UN,17.1,0.0,APLASTEC,UTILIDADES
217,"ABRACADEIRA DE NYLON 7,6X450MM (","18,000",UN,39.9,0.0,SQ COMERCIO E DIS,UTILIDADES
311,ABRACADEIRA DE NYLON BRANCA 4,"61,000",UN,8.32,0.0,SETE MARES COMER,UTILIDADES
323,"ABRACADEIRA NYLON 3,6X300MM C/ 1","11,000",PC,9.44,0.0,SETE MARES COMER,UTILIDADES
312,"ABRACADEIRA NYLON 4,8X150MM","79,000",UN,7.44,0.0,SETE MARES COMER,UTILIDADES
176,ABRACADEIRA NYLON 7.6X450MM (B,"98,000",UN,39.9,0.0,SETE MARES COMER,UTILIDADES
467,ADAPATADOR BENJAMIN T EM LATAO,"88,000",UN,2.1,0.0,APLASTEC,ELETRICA
355,ADAPTADOR 4 ENTRADAS 10 E 20 A - L,"14,000",UN,7.8,0.0,PLUS ADAPTADORE,ELETRICA
466,ADAPTADOR BOB SPONJA QUADRADO B,"72,000",UN,1.7,0.0,APLASTEC,ELETRICA
209,ADAPTADOR CASULO 10 ES20A,"-6,000",UN,2.4,0.0,,ELETRICA
208,ADAPTADOR CUBO 4 LADOS,"-10,000",UN,3.5,0.0,,ELETRICA
441,ADAPTADOR DE TORNEIRA,"334,000",UN,2.57,0.0,KL VITORIA - COM. D,HIDRAULICA
286,ADAPTADOR DOBRAVEL 10 E 20A,"25,000",UN,11.04,0.0,,ELETRICA
465,ADAPTADOR MULTIPLO INVERTIDO,"200,000",UN,2.24,0.0,APLASTEC,ELETRICA
285,ADAPTADOR REDONDO 10 E20A,"5,000",UN,8.4,0.0,,ELETRICA
372,"ADESIVO MONOCOMPONENTE 400G, C","6,000",UN,14.9,0.0,KL VITORIA - COM. D,UTILIDADES
354,ADESIVO SELANTE MONOCOMNENTE 4,"18,000",PC,14.9,0.0,KL VITORIA - COM. D,UTILIDADES
359,"ADESIVO SELANTE MONOCOMPONENTE,4","18,000",UN,14.9,0.0,KL VITORIA - COM. D,UTILIDADES
228,"ADPATADOR 3""T"" SAIDAS 10/20 A PIN","-14,000",UN,7.05,0.0,,ELETRICA
163,ALICATE BICO 6 (STARTOOLS),"32,000",UN,17.99,0.0,STARTOOLS FERRA,FERRAMENTAS
399,ALICATE DE CORTE 6,"111,000",UN,12.28,0.0,SETE MARES COMER,FERRAMENTAS
386,ALICATE DE CORTE 8,"143,000",UN,16.02,0.0,SETE MARES COMER,FERRAMENTAS
555,"ALICATE P/ BOMBA DE AGUA, 10","60,000",UN,29.16,0.0,SETE MARES COMER,FERRAMENTAS
38,ALICATE TURQUESA 8 - 4X12 (STARTO,"136,000",UN,17.0,0.0,STARTOOLS FERRA,FERRAMENTAS
320,"ANEL P/ VEDACAO, DE BORRACHA, 50 P","108,000",UN,11.34,0.0,SETE MARES COMER,UTILIDADES
313,APARELHO DE BARBEAR DE USO MANU,"30,000",UN,29.96,0.0,SETE MARES COMER,UTILIDADES
352,"APLICADOR DE METAL, DE USO MANUA","65,000",UN,16.99,0.0,SETE MARES COMER,FERRAMENTAS
278,APLICADOR DE SILICONE MANUAL IN,"0,000",PC,18.02,0.0,KL VITORIA - COM. D,FERRAMENTAS
54,AR0181 - FITA SILVER TAPE 10MTS (S,"20,000",UN,10.02,0.0,STARTOOLS FERRA,UTILIDADES
41,AR0330 - MANGUEIRA DE BICO BIDE 1,"21,000",UN,35.44,0.0,STARTOOLS FERRA,HIDRAULICA
44,AR0438 - CHAVE PHILLIPS ISOLADA VE,"0,000",CX,7.58,0.0,STARTOOLS FERRA,FERRAMENTAS
45,AR0469 - JOGO DE SOQUETE/CANHAO -,"-2,000",UN,16.52,0.0,STARTOOLS FERRA,FERRAMENTAS
46,AR0566 - ABRACADEIRA NYLON PRETA,"56,000",UN,13.13,0.0,STARTOOLS FERRA,UTILIDADES
47,AR0673 - ALICATE DESENCAPADOR E C,"16,000",UN,42.9,0.0,STARTOOLS FERRA,FERRAMENTAS
48,AR0706 - JOGO CHAVE COMBINADA C/,"4,000",UN,26.96,0.0,STARTOOLS FERRA,FERRAMENTAS
52,AR0728 - JOGO CHAVE FIXA C/12PCS 6X,"0,000",UN,71.0,0.0,STARTOOLS FERRA,FERRAMENTAS
53,AR3000 - ETANIZ GAS PARA MACARICO,"13,000",UN,16.99,0.0,SETE MARES COMER,FERRAMENTAS
387,ARCO DE SERRA,"32,000",UN,14.94,0.0,SETE MARES COMER,FERRAMENTAS
373,ARCO DE SERRA,"4,000",UN,19.99,0.0,KL VITORIA - COM. D,FERRAMENTAS
331,AUTO BROCANTE ARRUELA FIXA TER,"12,000",CT,111.1,0.0,KL VITORIA - COM. D,FERRAMENTAS
330,AUTO BROCANTE ARRUELA FIXA TER,"12,000",CT,110.59,0.0,KL VITORIA - COM. D,FERRAMENTAS
333,AUTO BROCANTE ARRUELA FIXA TER,"9,000",CT,78.3,0.0,KL VITORIA - COM. D,FERRAMENTAS
334,AUTO BROCANTE ARRUELA FIXA TER,"9,000",CT,91.46,0.0,KL VITORIA - COM. D,FERRAMENTAS
332,AUTO BROCANTE ARRUELA FIXA EPD,"10,000",CT,108.67,0.0,KL VITORIA - COM. D,FERRAMENTAS
124,AUTO BROCANTE ARRUELA MOVEL B,"5,000",CT,97.78,0.0,KL VITORIA - COM. D,FERRAMENTAS
272,AUTO BROCANTE ARRUELA MOVEL B,"6,000",CT,68.46,0.0,KL VITORIA - COM. D,FERRAMENTAS
279,AUTO BROCANTE ARRUELA MOVEL B,"0,000",CX,0.0,0.0,KL VITORIA - COM. D,FERRAMENTAS
275,AUTO BROCANTE ARRUELA MOVEL B,"4,000",CX,53.31,0.0,KL VITORIA - COM. D,FERRAMENTAS
125,AUTO BROCANTE COSTURA TELHA/T,"27,000",CT,84.24,0.0,KL VITORIA - COM. D,FERRAMENTAS
327,AUTO PERFURANTE STEEL TILE IN WO,"1,000",CE,112.26,0.0,KL VITORIA - COM. D,FERRAMENTAS
328,AUTO PERFURANTE STEEL TILE IN WO,"4,000",CT,91.42,0.0,KL VITORIA - COM. D,FERRAMENTAS
325,AUTO PERFURANTE STEEL TILE IN WO,"36,000",CT,123.2,0.0,KL VITORIA - COM. D,FERRAMENTAS
388,"BASTAO DE COLA, P/ PISTOLA DE COL","21,000",PC,48.94,0.0,SETE MARES COMER,UTILIDADES
389,"BASTAO DE COLA, P/ PISTOLA DE COL","43,000",UN,48.94,0.0,SETE MARES COMER,UTILIDADES
166,BENJAMIN LATAO 3 SAIDAS,"0,000",UN,3.43,0.0,,ELETRICA
226,BENJAMIN T 3 SAIDAS,"-30,000",UN,2.75,0.0,,ELETRICA
227,BOB-PORCELANA,"579,000",UN,2.75,0.0,,ELETRICA
314,"BOMBA DE AR, DE USO MANUAL 55C","34,000",UN,16.82,0.0,SETE MARES COMER,UTILIDADES
238,BROCA ACO RAPIDO 10X2.5MM,"0,000",UN,2.51,0.0,DIAMETALIC FERRA,FERRAMENTAS
309,"BROCA ACO RAPIDO 2,8MM","39,000",UN,1.28,0.0,DIAMETALIC FERRA,FERRAMENTAS
237,BROCA ACO RAPIDO HSS-G 10X1.5M,"0,000",UN,1.4,0.0,DIAMETALIC FERRA,FERRAMENTAS
