codigo,produto,saldo,unidade,preco_atacado,preco_varejo,fornecedor,categoria,imagem,catalogo
205,(HS) MAX DUCHA 5500W 220V 26A,"-8,000",UN,8.99,0.0,TECNO CORTE,ELETRICA,,SIM
231,(HS) RESISTENCIA BELA ULTRA 4T,"245,000",UN,16.63,0.0,DIAMETALIC FERRA,ELETRICA,,SIM
474,ABRACADEIRA 200X4.8MM PRETA,"51,000",UN,9.46,0.0,APLASTEC,UTILIDADES,,SIM
403,ABRACADEIRA 4.8X200MM BRANCA,"20,000",UN,9.76,0.0,APLASTEC,UTILIDADES,403_ABRACADEIRA_4.8X200MM_BRANCA.jpeg,SIM
510,ABRACADEIRA 4.8X280MM BRANCA,"90,000",UN,9.46,0.0,APLASTEC,UTILIDADES,510_ABRACADEIRA_4.8X280MM_BRANCA.jpeg,SIM
404,ABRACADEIRA 4.8X280MM PRETA,"0,000",UN,13.96,0.0,APLASTEC,UTILIDADES,,SIM
472,ABRACADEIRA DE NYLON 100X2.5MM B,"12,000",UN,2.46,0.0,APLASTEC,UTILIDADES,,SIM
473,ABRACADEIRA DE NYLON 100X2.5MM P,"12,000",UN,2.46,0.0,APLASTEC,UTILIDADES,,SIM
310,"ABRACADEIRA DE NYLON 3,6X300MM C","7,000",UN,9.45,0.0,SETE MARES COMER,UTILIDADES,"310_ABRACADEIRA_DE_NYLON_3,6X300MM_C_100_PCS_PRETA.jpg",SIM
470,ABRACADEIRA DE NYLON 300X7.6MM P,"12,000",UN,12.44,0.0,APLASTEC,UTILIDADES,,SIM
413,"ABRACADEIRA DE NYLON 4,8X400MM B","36,000",UN,16.02,0.0,KL VITORIA - COM. D,UTILIDADES,,SIM
346,"ABRACADEIRA DE NYLON 4,8X400MM P","38,000",UN,16.02,0.0,SETE MARES COMER,UTILIDADES,346_ABRACADEIRA_DE_NYLON_4_8X400MM_PRETA.jpg,SIM
499,ABRACADEIRA DE NYLON 4.8X300,"120,000",UN,11.7,0.0,SETE MARES COMER,UTILIDADES,499_ABRACADEIRA_DE_NYLON_4.8X300.jpeg,SIM
471,ABRACADEIRA DE NYLON 400X7.6MM P,"34,000",UN,17.1,0.0,APLASTEC,UTILIDADES,,SIM
217,"ABRACADEIRA DE NYLON 7,6X450MM (","18,000",UN,39.9,0.0,SQ COMERCIO E DIS,UTILIDADES,217_ABRACADEIRA_DE_NYLON_7_6X450MM_PRETA.jpg,SIM
