linha
SENNA FIX
LISTAGEM DE PRODUTOS 22/06/2026 11:32:38
página: 1 de 10
Geral
Código Descricao Local. Saldo Un Atacado Varejo Fornecedor
"268 0,000 UN 0,000000 0,000000"
"280 0,000 UN 0,000000 0,000000"
"324 0,000 UN 0,000000 0,000000"
"340 0,000 UN 0,000000 0,000000"
"410 0,000 UN 0,000000 0,000000"
"424 0,000 UN 0,000000 0,000000"
"468 0,000 UN 0,000000 0,000000 APLASTEC"
"498 0,000 UN 0,000000 0,000000"
"511 0,000 UN 0,000000 0,000000"
"534 0,000 UN 0,000000 0,000000"
"570 0,000 UN 0,000000 0,000000"
"575 0,000 UN 0,000000 0,000000"
"205 (HS) MAX DUCHA 5500W 220V 26A -8,000 UN 8,990000 0,000000 TECNO CORTE"
"231 (HS) RESISTENCIA BELA ULTRA 4T 245,000 UN 16,630000 0,000000 DIAMETALIC FERRA"
"474 ABRACADEIRA 200X4.8MM PRETA 51,000 UN 9,460000 0,000000 APLASTEC"
"403 ABRACADEIRA 4.8X200MM BRANCA 20,000 UN 9,760000 0,000000 APLASTEC"
"510 ABRACADEIRA 4.8X280MM BRANCA 90,000 UN 9,460000 0,000000 APLASTEC"
"404 ABRACADEIRA 4.8X280MM PRETA 0,000 UN 13,960000 0,000000 APLASTEC"
"472 ABRACADEIRA DE NYLON 100X2.5MM B 12,000 UN 2,460000 0,000000 APLASTEC"
"473 ABRACADEIRA DE NYLON 100X2.5MM P 12,000 UN 2,460000 0,000000 APLASTEC"
"310 ABRACADEIRA DE NYLON 3,6X300MM C 7,000 UN 9,450000 0,000000 SETE MARES COMER"
"470 ABRACADEIRA DE NYLON 300X7.6MM P 12,000 UN 12,440000 0,000000 APLASTEC"
"413 ABRACADEIRA DE NYLON 4,8X400MM B 36,000 UN 16,020000 0,000000 KL VITORIA - COM. D"
"346 ABRACADEIRA DE NYLON 4,8X400MM P 38,000 UN 16,020000 0,000000 SETE MARES COMER"
"499 ABRACADEIRA DE NYLON 4.8X300 120,000 UN 11,700000 0,000000 SETE MARES COMER"
"471 ABRACADEIRA DE NYLON 400X7.6MM P 34,000 UN 17,100000 0,000000 APLASTEC"
"217 ABRACADEIRA DE NYLON 7,6X450MM ( 18,000 UN 39,900000 0,000000 SQ COMERCIO E DIS"
"311 ABRACADEIRA DE NYLON BRANCA 4 61,000 UN 8,320000 0,000000 SETE MARES COMER"
"323 ABRACADEIRA NYLON 3,6X300MM C/ 1 11,000 PC 9,440000 0,000000 SETE MARES COMER"
"312 ABRACADEIRA NYLON 4,8X150MM 79,000 UN 7,440000 0,000000 SETE MARES COMER"
"176 ABRACADEIRA NYLON 7.6X450MM (B 98,000 UN 39,900000 0,000000 SETE MARES COMER"
"467 ADAPATADOR BENJAMIN T EM LATAO 88,000 UN 2,100000 0,000000 APLASTEC"
"355 ADAPTADOR 4 ENTRADAS 10 E 20 A - L 14,000 UN 7,800000 0,000000 PLUS ADAPTADORE"
"466 ADAPTADOR BOB SPONJA QUADRADO B 72,000 UN 1,700000 0,000000 APLASTEC"
"209 ADAPTADOR CASULO 10 ES20A -6,000 UN 2,400000 0,000000"
"208 ADAPTADOR CUBO 4 LADOS -10,000 UN 3,500000 0,000000"
"441 ADAPTADOR DE TORNEIRA 334,000 UN 2,570000 0,000000 KL VITORIA - COM. D"
"286 ADAPTADOR DOBRAVEL 10 E 20A 25,000 UN 11,040000 0,000000"
"465 ADAPTADOR MULTIPLO INVERTIDO 200,000 UN 2,240000 0,000000 APLASTEC"
"285 ADAPTADOR REDONDO 10 E20A 5,000 UN 8,400000 0,000000"
"372 ADESIVO MONOCOMPONENTE 400G, C 6,000 UN 14,900000 0,000000 KL VITORIA - COM. D"
"354 ADESIVO SELANTE MONOCOMNENTE 4 18,000 PC 14,900000 0,000000 KL VITORIA - COM. D"
"359 ADESIVO SELANTE MONOCOMPONENTE,4 18,000 UN 14,900000 0,000000 KL VITORIA - COM. D"
"228 ADPATADOR 3""T"" SAIDAS 10/20 A PIN -14,000 UN 7,050000 0,000000"
"163 ALICATE BICO 6 (STARTOOLS) 32,000 UN 17,990000 0,000000 STARTOOLS FERRA"
"399 ALICATE DE CORTE 6 111,000 UN 12,280000 0,000000 SETE MARES COMER"
"386 ALICATE DE CORTE 8 143,000 UN 16,020000 0,000000 SETE MARES COMER"
"555 ALICATE P/ BOMBA DE AGUA, 10 60,000 UN 29,160000 0,000000 SETE MARES COMER"
"38 ALICATE TURQUESA 8 - 4X12 (STARTO 136,000 UN 17,000000 0,000000 STARTOOLS FERRA"
"320 ANEL P/ VEDACAO, DE BORRACHA, 50 P 108,000 UN 11,340000 0,000000 SETE MARES COMER"
"313 APARELHO DE BARBEAR DE USO MANU 30,000 UN 29,960000 0,000000 SETE MARES COMER"
Nucleu Tecnologia. 4109 1212
SENNA FIX
LISTAGEM DE PRODUTOS 22/06/2026 11:32:38
página: 2 de 10
Geral
Código Descricao Local. Saldo Un Atacado Varejo Fornecedor
"352 APLICADOR DE METAL, DE USO MANUA 65,000 UN 16,990000 0,000000 SETE MARES COMER"
"278 APLICADOR DE SILICONE MANUAL IN 0,000 PC 18,020000 0,000000 KL VITORIA - COM. D"
"54 AR0181 - FITA SILVER TAPE 10MTS (S 20,000 UN 10,020000 0,000000 STARTOOLS FERRA"
"41 AR0330 - MANGUEIRA DE BICO BIDE 1 21,000 UN 35,440000 0,000000 STARTOOLS FERRA"
"44 AR0438 - CHAVE PHILLIPS ISOLADA VE 0,000 CX 7,580000 0,000000 STARTOOLS FERRA"
"45 AR0469 - JOGO DE SOQUETE/CANHAO - -2,000 UN 16,520000 0,000000 STARTOOLS FERRA"
"46 AR0566 - ABRACADEIRA NYLON PRETA 56,000 UN 13,130000 0,000000 STARTOOLS FERRA"
"47 AR0673 - ALICATE DESENCAPADOR E C 16,000 UN 42,900000 0,000000 STARTOOLS FERRA"
"48 AR0706 - JOGO CHAVE COMBINADA C/ 4,000 UN 26,960000 0,000000 STARTOOLS FERRA"
